X,Y,Rotation,Main Thread,Vertices,Triangles,Draw Calls,FPS
-28.000910,1.600000,1.440000,41.834947,614.000000,638.000000,309.000000,23.899384
-28.000910,1.600000,2.880000,41.731563,614.000000,638.000000,309.000000,23.960407
-28.000910,1.600000,4.320001,41.893437,584.000000,603.000000,307.000000,23.869373
-28.000910,1.600000,5.760001,41.462605,592.000000,609.000000,321.000000,24.113636
-28.000910,1.600000,7.200000,41.999636,593.000000,610.000000,323.000000,23.806835
-28.000910,1.600000,8.640000,41.657656,595.000000,612.000000,326.000000,24.003300
-28.000910,1.600000,10.080000,41.832865,600.000000,616.000000,341.000000,23.901854
-28.000910,1.600000,11.520000,41.890365,602.000000,618.000000,349.000000,23.868931
-28.000910,1.600000,12.960000,41.323698,603.000000,619.000000,355.000000,24.197086
-28.000910,1.600000,14.400000,41.212656,606.000000,621.000000,364.000000,24.261509
-28.000910,1.600000,15.840010,41.974115,609.000000,623.000000,369.000000,23.822197
-28.000910,1.600000,17.280000,41.861771,613.000000,625.000000,377.000000,23.884813
-28.000910,1.600000,18.720010,41.677396,616.000000,628.000000,392.000000,23.991093
-28.000910,1.600000,20.160010,41.309896,620.000000,631.000000,403.000000,24.204130
-28.000910,1.600000,21.600010,41.373646,626.000000,634.000000,413.000000,24.168636
-28.000910,1.600000,23.040000,42.280834,599.000000,601.000000,412.000000,23.648203
-28.000910,1.600000,24.480010,42.134115,608.000000,607.000000,434.000000,23.730305
-28.000910,1.600000,25.920010,41.574895,609.000000,610.000000,442.000000,24.051350
-28.000910,1.600000,27.360010,41.676771,602.000000,603.000000,443.000000,23.991364
-28.000910,1.600000,28.800000,41.870677,611.000000,611.000000,466.000000,23.880301
-28.000910,1.600000,30.240010,41.571563,615.000000,615.000000,487.000000,24.052101
-28.000910,1.600000,31.680010,41.479271,614.000000,614.000000,486.000000,24.106068
-28.000910,1.600000,33.120010,41.408177,603.000000,600.000000,489.000000,24.147722
-28.000910,1.600000,34.560010,41.948906,565.000000,558.000000,487.000000,23.835238
-28.000910,1.600000,36.000010,42.122500,568.000000,560.000000,493.000000,23.737345
-28.000910,1.600000,37.440010,42.014271,574.000000,565.000000,507.000000,23.799284
-28.000910,1.600000,38.880010,42.054114,531.000000,515.000000,511.000000,23.778444
-28.000910,1.600000,40.320010,41.723490,537.000000,518.000000,516.000000,23.961033
-28.000910,1.600000,41.760010,42.144687,504.000000,473.000000,525.000000,23.726025
-28.000910,1.600000,43.200010,41.903906,519.000000,483.000000,539.000000,23.861366
-28.000910,1.600000,44.640010,41.978490,515.000000,479.000000,550.000000,23.818916
-28.000910,1.600000,46.080010,41.738021,522.000000,483.000000,562.000000,23.956966
-28.000910,1.600000,47.520010,41.494687,541.000000,492.000000,572.000000,24.095963
-28.000910,1.600000,48.960010,41.277968,556.000000,500.000000,587.000000,24.223370
-28.000910,1.600000,50.400010,42.025521,569.000000,507.000000,598.000000,23.792648
-28.000910,1.600000,51.840010,41.733073,536.000000,461.000000,600.000000,23.959030
-28.000910,1.600000,53.280010,41.805000,452.000000,358.000000,594.000000,23.917635
-28.000910,1.600000,54.720020,41.978906,448.000000,346.000000,600.000000,23.819536
-28.000910,1.600000,56.160020,42.307761,463.000000,356.000000,621.000000,23.633911
-28.000910,1.600000,57.600020,41.447708,479.000000,364.000000,633.000000,24.123423
-28.000910,1.600000,59.040010,41.244636,468.000000,349.000000,640.000000,24.245211
-28.000910,1.600000,60.480010,41.472969,480.000000,355.000000,659.000000,24.106976
-28.000910,1.600000,61.920020,42.218855,472.000000,342.000000,667.000000,23.683092
-28.000910,1.600000,63.360010,41.594687,488.000000,359.000000,669.000000,24.038883
-28.000910,1.600000,64.800010,41.857396,487.000000,359.000000,665.000000,23.888174
-28.000910,1.600000,66.240010,41.873698,487.000000,358.000000,664.000000,23.879112
-28.000910,1.600000,67.680020,42.027396,483.000000,356.000000,657.000000,23.791643
-28.000910,1.600000,69.120020,41.726666,481.000000,355.000000,652.000000,23.962889
-28.000910,1.600000,70.560010,41.770625,480.000000,354.000000,647.000000,23.938150
-28.000910,1.600000,72.000020,41.799427,479.000000,354.000000,644.000000,23.920465
-28.000910,1.600000,73.440020,41.827240,468.000000,345.000000,638.000000,23.906019
-28.000910,1.600000,74.880020,41.743021,463.000000,341.000000,627.000000,23.952753
-28.000910,1.600000,76.320030,41.779948,463.000000,341.000000,624.000000,23.931852
-28.000910,1.600000,77.760030,42.099948,447.000000,324.000000,622.000000,23.751266
-28.000910,1.600000,79.200020,41.976667,437.000000,315.000000,618.000000,23.819595
-28.000910,1.600000,80.640020,30.019323,404.000000,278.000000,605.000000,33.339470
-28.000910,1.600000,82.080020,26.798958,402.000000,277.000000,604.000000,37.289082
-28.000910,1.600000,83.520030,27.900521,400.000000,276.000000,603.000000,35.824505
-28.000910,1.600000,84.960030,27.947552,400.000000,275.000000,601.000000,35.763512
-28.000910,1.600000,86.400030,27.641614,380.000000,256.000000,596.000000,36.159554
-28.000910,1.600000,87.840030,28.596250,376.000000,254.000000,593.000000,34.972168
-28.000910,1.600000,89.280020,28.115417,373.000000,252.000000,591.000000,35.550949
-28.000910,1.600000,90.720020,26.660833,371.000000,251.000000,586.000000,37.474453
-28.000910,1.600000,92.160030,28.256614,371.000000,251.000000,586.000000,35.380291
-28.000910,1.600000,93.600020,27.895886,371.000000,251.000000,587.000000,35.848785
-28.000910,1.600000,95.040020,27.674010,371.000000,250.000000,584.000000,36.118061
-28.000910,1.600000,96.480020,28.411822,370.000000,249.000000,584.000000,35.157753
-28.000910,1.600000,97.920020,28.473282,371.000000,249.000000,586.000000,35.126686
-28.000910,1.600000,99.360020,27.018541,368.000000,246.000000,576.000000,37.015404
-28.000910,1.600000,100.800000,27.236302,383.000000,263.000000,578.000000,36.692551
-28.000910,1.600000,102.240000,27.510833,394.000000,280.000000,577.000000,36.328682
-28.000910,1.600000,103.680000,27.545521,392.000000,279.000000,575.000000,36.293728
-28.000910,1.600000,105.120000,28.326511,376.000000,261.000000,573.000000,35.286205
-28.000910,1.600000,106.560000,28.331146,375.000000,261.000000,572.000000,35.273369
-28.000910,1.600000,108.000000,27.548646,368.000000,253.000000,554.000000,36.294415
-28.000910,1.600000,109.440000,28.114063,367.000000,253.000000,553.000000,35.537720
-28.000910,1.600000,110.880000,28.124791,366.000000,253.000000,551.000000,35.555687
-28.000910,1.600000,112.320000,28.098855,366.000000,253.000000,551.000000,35.564972
-28.000910,1.600000,113.760000,28.018959,366.000000,253.000000,552.000000,35.657909
-28.000910,1.600000,115.200000,28.120105,350.000000,234.000000,549.000000,35.557793
-28.000910,1.600000,116.640000,27.375938,349.000000,234.000000,544.000000,36.518982
-28.000910,1.600000,118.080000,27.937135,350.000000,234.000000,541.000000,35.786713
-28.000910,1.600000,119.520000,28.325365,351.000000,234.000000,541.000000,35.297947
-28.000910,1.600000,120.960000,27.909531,347.000000,230.000000,532.000000,35.824238
-28.000910,1.600000,122.400000,28.278594,346.000000,229.000000,530.000000,35.362434
-28.000910,1.600000,123.840000,28.342240,338.000000,222.000000,508.000000,35.268185
-28.000910,1.600000,125.280000,27.346198,336.000000,221.000000,508.000000,36.575050
-28.000910,1.600000,126.720000,27.715156,335.000000,220.000000,501.000000,36.057693
-28.000910,1.600000,128.160000,28.143959,327.000000,215.000000,487.000000,35.527924
-28.000910,1.600000,129.600000,27.904531,316.000000,209.000000,472.000000,35.828918
-28.000910,1.600000,131.040000,28.557448,308.000000,202.000000,452.000000,35.032787
-28.000910,1.600000,132.480000,28.414636,314.000000,205.000000,478.000000,35.156399
-28.000910,1.600000,133.920000,27.728125,307.000000,201.000000,471.000000,36.061756
-28.000910,1.600000,135.360000,27.038854,305.000000,200.000000,464.000000,36.997211
-28.000910,1.600000,136.800000,28.548697,300.000000,195.000000,449.000000,34.991928
-28.000910,1.600000,138.240000,27.933073,297.000000,193.000000,440.000000,35.793648
-28.000910,1.600000,139.680000,27.256354,317.000000,210.000000,435.000000,36.704544
-28.000910,1.600000,141.120000,28.010104,346.000000,235.000000,442.000000,35.689526
-28.000910,1.600000,142.560000,26.924271,340.000000,230.000000,425.000000,37.139053
-28.000910,1.600000,144.000000,26.912708,343.000000,232.000000,425.000000,37.133381
-28.000910,1.600000,145.440000,27.756458,353.000000,239.000000,436.000000,36.007854
-28.000910,1.600000,146.880000,28.168959,375.000000,252.000000,457.000000,35.480389
-28.000910,1.600000,148.320000,27.920729,367.000000,245.000000,447.000000,35.776112
-28.000910,1.600000,149.760000,28.436042,372.000000,246.000000,451.000000,35.164577
-28.000910,1.600000,151.200000,26.857032,418.000000,308.000000,479.000000,37.244019
-28.000910,1.600000,152.640000,40.010520,439.000000,338.000000,484.000000,24.971096
-28.000910,1.600000,154.080000,28.235625,425.000000,330.000000,471.000000,35.432919
-28.000910,1.600000,155.520000,27.333334,422.000000,328.000000,468.000000,36.568851
-28.000910,1.600000,156.960000,27.578073,417.000000,325.000000,464.000000,36.217735
-28.000910,1.600000,158.400000,27.599062,422.000000,327.000000,471.000000,36.224434
-28.000910,1.600000,159.840000,41.131823,408.000000,320.000000,458.000000,24.310015
-28.000910,1.600000,161.280000,41.622136,411.000000,322.000000,458.000000,24.023512
-28.000910,1.600000,162.720000,29.786771,416.000000,327.000000,471.000000,33.581932
-28.000910,1.600000,164.160000,26.867813,402.000000,318.000000,454.000000,37.183506
-28.000910,1.600000,165.600000,41.379739,398.000000,317.000000,449.000000,24.163010
-28.000910,1.600000,167.040000,41.689635,397.000000,317.000000,444.000000,23.984409
-28.000910,1.600000,168.480000,30.042292,402.000000,319.000000,453.000000,33.313091
-28.000910,1.600000,169.920000,40.519688,416.000000,327.000000,473.000000,24.657049
-28.000910,1.600000,171.360000,41.138750,450.000000,365.000000,481.000000,24.305397
-28.000910,1.600000,172.800000,41.174375,459.000000,369.000000,491.000000,24.283878
-28.000910,1.600000,174.240000,41.480364,466.000000,371.000000,497.000000,24.106068
-28.000910,1.600000,175.680000,42.059479,472.000000,375.000000,502.000000,23.771761
-28.000910,1.600000,177.120000,40.998021,476.000000,377.000000,507.000000,24.388943
-28.000910,1.600000,178.560000,41.420885,479.000000,379.000000,511.000000,24.138039
-28.000910,1.600000,180.000000,41.858646,483.000000,381.000000,517.000000,23.888411
-28.000910,1.600000,181.440000,41.771354,487.000000,384.000000,524.000000,23.937672
-28.000910,1.600000,182.880000,41.300365,493.000000,387.000000,529.000000,24.209961
-28.000910,1.600000,184.320000,41.376198,501.000000,392.000000,537.000000,24.169947
-28.000910,1.600000,185.760000,40.822396,504.000000,394.000000,542.000000,24.492170
-28.000910,1.600000,187.200000,42.694896,506.000000,395.000000,542.000000,23.415461
-28.000910,1.600000,188.640000,40.522760,512.000000,398.000000,549.000000,24.675144
-28.000910,1.600000,190.080000,41.214062,516.000000,401.000000,557.000000,24.260590
-28.000910,1.600000,191.520000,41.838020,521.000000,405.000000,563.000000,23.898996
-28.000910,1.600000,192.960000,42.332240,523.000000,406.000000,565.000000,23.621758
-28.000910,1.600000,194.400000,41.447760,524.000000,407.000000,566.000000,24.121149
-28.000910,1.600000,195.840000,42.119844,527.000000,411.000000,571.000000,23.740223
-28.000910,1.600000,197.280000,43.144063,558.000000,447.000000,575.000000,23.176987
-28.000910,1.600000,198.720000,41.514166,558.000000,447.000000,575.000000,24.090942
-28.000910,1.600000,200.160000,39.987395,558.000000,447.000000,575.000000,24.993589
-28.000910,1.600000,201.600000,40.741666,559.000000,448.000000,576.000000,24.541540
-28.000910,1.600000,203.040000,40.794740,559.000000,448.000000,576.000000,24.511150
-28.000910,1.600000,204.480000,42.287657,557.000000,447.000000,574.000000,23.643806
-28.000910,1.600000,205.920000,41.331875,557.000000,447.000000,576.000000,24.191902
-28.000910,1.600000,207.360000,42.009531,558.000000,447.000000,576.000000,23.800848
-28.000910,1.600000,208.800000,41.696198,558.000000,447.000000,576.000000,23.980366
-28.000910,1.600000,210.240000,42.138229,558.000000,447.000000,576.000000,23.727432
-28.000910,1.600000,211.680000,41.148802,556.000000,446.000000,574.000000,24.301182
-28.000910,1.600000,213.120000,41.430312,546.000000,430.000000,576.000000,24.132063
-28.000910,1.600000,214.560100,41.756614,545.000000,429.000000,575.000000,23.946003
-28.000910,1.600000,216.000000,42.153334,551.000000,434.000000,581.000000,23.719429
-28.000910,1.600000,217.440000,41.645573,551.000000,434.000000,580.000000,24.010506
-28.000910,1.600000,218.880000,42.038594,551.000000,434.000000,580.000000,23.785013
-28.000910,1.600000,220.320000,41.422604,551.000000,434.000000,580.000000,24.138130
-28.000910,1.600000,221.760000,43.071406,550.000000,433.000000,579.000000,23.214312
-28.000910,1.600000,223.200000,40.052395,551.000000,435.000000,581.000000,24.964018
-28.000910,1.600000,224.640000,41.200261,552.000000,435.000000,582.000000,24.268745
-28.000910,1.600000,226.080000,41.757240,552.000000,435.000000,582.000000,23.944897
-28.000910,1.600000,227.520000,42.235781,552.000000,435.000000,582.000000,23.673134
-28.000910,1.600000,228.960000,41.091979,552.000000,435.000000,582.000000,24.333181
-28.000910,1.600000,230.400000,41.837031,552.000000,435.000000,581.000000,23.899145
-28.000910,1.600000,231.840000,41.880000,556.000000,438.000000,581.000000,23.874926
-28.000910,1.600000,233.280000,42.857552,551.000000,435.000000,572.000000,23.330473
-28.000910,1.600000,234.720000,42.088386,579.000000,469.000000,569.000000,23.756613
-28.000910,1.600000,236.160000,41.923593,579.000000,469.000000,566.000000,23.850279
-28.000910,1.600000,237.600000,41.129896,573.000000,465.000000,557.000000,24.310444
-28.000910,1.600000,239.040100,41.215677,570.000000,464.000000,544.000000,24.265402
-28.000910,1.600000,240.480000,41.180052,567.000000,462.000000,534.000000,24.274668
-28.000910,1.600000,241.920000,41.672344,562.000000,459.000000,523.000000,23.993851
-28.000910,1.600000,243.360000,42.197708,567.000000,463.000000,523.000000,23.697325
-28.000910,1.600000,244.800000,42.417136,582.000000,480.000000,523.000000,23.571211
-28.000910,1.600000,246.240100,41.716927,580.000000,479.000000,516.000000,23.967884
-28.000910,1.600000,247.680100,41.783125,581.000000,479.000000,515.000000,23.930571
-28.000910,1.600000,249.120100,42.231666,581.000000,479.000000,515.000000,23.676315
-28.000910,1.600000,250.560100,41.623854,564.000000,470.000000,501.000000,24.021679
-28.000910,1.600000,252.000100,41.845104,549.000000,460.000000,482.000000,23.894802
-28.000910,1.600000,253.440100,42.203281,543.000000,456.000000,469.000000,23.692444
-28.000910,1.600000,254.880100,42.294323,537.000000,453.000000,463.000000,23.641418
-28.000910,1.600000,256.320100,41.971250,480.000000,369.000000,447.000000,23.822788
-28.000910,1.600000,257.760000,42.557812,480.000000,379.000000,434.000000,23.495148
-28.000910,1.600000,259.200000,41.992083,475.000000,385.000000,413.000000,23.810883
-28.000910,1.600000,260.640000,43.095938,457.000000,375.000000,392.000000,23.209682
-28.000910,1.600000,262.080000,42.145573,445.000000,370.000000,378.000000,23.713570
-28.000910,1.600000,263.520100,41.944843,430.000000,361.000000,359.000000,23.837963
-28.000910,1.600000,264.960100,42.196719,420.000000,356.000000,350.000000,23.696362
-28.000910,1.600000,266.400100,42.547500,399.000000,344.000000,323.000000,23.500986
-28.000910,1.600000,267.840000,42.462813,380.000000,331.000000,295.000000,23.547504
-28.000910,1.600000,269.280000,41.981198,388.000000,345.000000,289.000000,23.817322
-28.000910,1.600000,270.720000,42.230208,375.000000,337.000000,278.000000,23.679323
-28.000910,1.600000,272.160000,41.870521,465.000000,443.000000,283.000000,23.878281
-28.000910,1.600000,273.600000,41.496458,458.000000,438.000000,276.000000,24.095236
-28.000910,1.600000,275.040000,41.448177,444.000000,430.000000,259.000000,24.123787
-28.000910,1.600000,276.480000,41.924688,441.000000,430.000000,250.000000,23.850307
-28.000910,1.600000,277.920000,41.811823,434.000000,426.000000,245.000000,23.912958
-28.000910,1.600000,279.360000,41.935833,430.000000,425.000000,242.000000,23.843142
-28.000910,1.600000,280.800000,41.771510,418.000000,417.000000,228.000000,23.937044
-28.000910,1.600000,282.240100,42.127761,411.000000,413.000000,219.000000,23.734558
-28.000910,1.600000,283.680100,29.580104,405.000000,409.000000,209.000000,33.801685
-28.000910,1.600000,285.120100,27.656718,401.000000,406.000000,202.000000,36.160233
-28.000910,1.600000,286.560100,40.753385,397.000000,405.000000,200.000000,24.528528
-28.000910,1.600000,288.000100,28.679635,513.000000,534.000000,227.000000,34.871811
-28.000910,1.600000,289.440100,40.817032,514.000000,536.000000,212.000000,24.487015
-28.000910,1.600000,290.880100,41.007292,541.000000,569.000000,212.000000,24.383430
-28.000910,1.600000,292.320100,41.574687,538.000000,567.000000,208.000000,24.049814
-28.000910,1.600000,293.760100,41.842865,534.000000,565.000000,206.000000,23.896856
-28.000910,1.600000,295.200100,42.019739,521.000000,557.000000,196.000000,23.795094
-28.000910,1.600000,296.640000,42.048386,513.000000,553.000000,187.000000,23.780153
-28.000910,1.600000,298.080000,42.004323,512.000000,552.000000,189.000000,23.804152
-28.000910,1.600000,299.520100,42.023750,514.000000,553.000000,190.000000,23.793737
-28.000910,1.600000,300.960100,41.965521,510.000000,550.000000,184.000000,23.826305
-28.000910,1.600000,302.400100,41.878906,507.000000,547.000000,179.000000,23.876024
-28.000910,1.600000,303.840100,30.032552,505.000000,545.000000,178.000000,33.309158
-28.000910,1.600000,305.280100,39.898334,514.000000,553.000000,180.000000,25.046700
-28.000910,1.600000,306.720100,41.253958,513.000000,551.000000,180.000000,24.237774
-28.000910,1.600000,308.160100,29.958229,515.000000,553.000000,185.000000,33.377781
-28.000910,1.600000,309.600100,39.965729,517.000000,554.000000,191.000000,25.016449
-28.000910,1.600000,311.040000,41.559635,513.000000,551.000000,186.000000,24.059246
-28.000910,1.600000,312.480000,29.601875,513.000000,551.000000,187.000000,33.776833
-28.000910,1.600000,313.920000,28.167657,514.000000,552.000000,191.000000,35.513203
-28.000910,1.600000,315.360000,26.847708,548.000000,589.000000,203.000000,37.233261
-28.000910,1.600000,316.800000,27.349323,548.000000,589.000000,205.000000,36.524467
-28.000910,1.600000,318.240100,41.056719,550.000000,591.000000,211.000000,24.353678
-28.000910,1.600000,319.680100,40.255469,561.000000,600.000000,217.000000,24.839609
-28.000910,1.600000,321.120100,42.148386,564.000000,602.000000,224.000000,23.722652
-28.000910,1.600000,322.560100,41.827187,566.000000,603.000000,229.000000,23.905453
-28.000910,1.600000,324.000100,41.592865,576.000000,611.000000,234.000000,24.041111
-28.000910,1.600000,325.440100,41.445417,576.000000,611.000000,232.000000,24.125633
-28.000910,1.600000,326.880100,41.796510,577.000000,612.000000,235.000000,23.922668
-28.000910,1.600000,328.320000,41.695052,578.000000,613.000000,237.000000,23.981384
-28.000910,1.600000,329.760000,41.799531,578.000000,613.000000,237.000000,23.920673
-28.000910,1.600000,331.200000,41.760625,581.000000,614.000000,239.000000,23.943403
-28.000910,1.600000,332.640000,41.864427,582.000000,615.000000,241.000000,23.884012
-28.000910,1.600000,334.080000,41.762553,587.000000,618.000000,249.000000,23.941881
-28.000910,1.600000,335.520100,41.516406,590.000000,620.000000,251.000000,24.084507
-28.000910,1.600000,336.960100,41.794688,596.000000,624.000000,260.000000,23.923355
-28.000910,1.600000,338.400100,41.297292,597.000000,625.000000,261.000000,24.212557
-28.000910,1.600000,339.840100,42.055782,598.000000,626.000000,266.000000,23.775911
-28.000910,1.600000,341.280100,41.593177,598.000000,626.000000,266.000000,24.039846
-28.000910,1.600000,342.720100,41.419271,598.000000,626.000000,266.000000,24.140347
-28.000910,1.600000,344.160100,42.064635,598.000000,626.000000,268.000000,23.771318
-28.000910,1.600000,345.600000,41.860364,601.000000,629.000000,273.000000,23.885916
-28.000910,1.600000,347.040000,41.880937,599.000000,626.000000,272.000000,23.874954
-28.000910,1.600000,348.480000,41.903542,604.000000,631.000000,286.000000,23.861544
-28.000910,1.600000,349.920000,41.794427,607.000000,633.000000,293.000000,23.924101
-28.000910,1.600000,351.360000,41.837136,607.000000,633.000000,293.000000,23.899294
-28.000910,1.600000,352.800000,41.683281,609.000000,634.000000,294.000000,23.988487
-28.000910,1.600000,354.240100,41.822187,611.000000,635.000000,296.000000,23.908342
-28.000910,1.600000,355.680100,41.614636,612.000000,636.000000,300.000000,24.027271
-28.000910,1.600000,357.120100,41.748229,612.000000,636.000000,300.000000,23.950632
-28.000910,1.600000,358.560100,41.715052,614.000000,638.000000,303.000000,23.968960
-28.000910,1.600000,0.000000,41.622969,611.000000,635.000000,303.000000,24.022791
